Element name,Atomic number,Formal charge,Period,Number of d orbital electrons,Number of s orbital electrons,Miller index X,Miller index Y,Miller index Z,bond length,Number of atoms per unit cell,Crystal density,Relative atomic mass,Work function,Pauling electronegativity,Atomic radius,Center of TDOS,Center of PDOS,Cohesive Energy,Cohesive Energy II,Electron Affinity,SISSO1,SISSO2,SISSO3,CM5 charge
Ag,47,11,5,10,1,1,1,1,2.9,4,10.36,107.87,4.12,1.93,1.45,-3.078244,-3.321487,7.57623,21.47746,1.30447,1.746265895,-309.8011032,38.90709587,0.24269281
Ag,47,11,5,10,1,2,0,0,2.9,4,10.36,107.87,3.97,1.93,1.45,-3.092249,-3.394579,7.57623,21.47746,1.30447,1.760478929,-251.3066952,38.53673804,0.25208603
Ag,47,11,5,10,1,2,2,0,2.9,4,10.36,107.87,3.99,1.93,1.45,-3.401054,-3.809928,7.57623,21.47746,1.30447,1.963564474,-233.17825,36.43216084,0.23098492
Ag,47,11,5,10,1,3,1,1,2.9,4,10.36,107.87,4.19,1.93,1.45,-3.18391,-3.528496,7.57623,21.47746,1.30447,1.842274644,-320.4307981,37.85817937,0.24176103
Cd,48,12,5,10,2,0,0,2,2.96,2,8.37,112.41,3.68,1.69,1.44,-1.514465,-0.989921,8.99382,16.90831,0,0.979855323,-434.4662037,6.547189459,0.24153411
Cd,48,12,5,10,2,1,0,0,2.96,2,8.37,112.41,3.72,1.69,1.44,-2.309513,-6.423159,8.99382,16.90831,0,0.468061479,-102.0524166,3.316291791,0.24023751
Cd,48,12,5,10,2,1,0,1,2.96,2,8.37,112.41,3.05,1.69,1.44,-3.464002,-7.481734,8.99382,16.90831,0,0.99643339,-32.33878796,2.686805747,0.24010464
Cd,48,12,5,10,2,1,0,3,2.96,2,8.37,112.41,3.69,1.69,1.44,-2.436125,-3.621281,8.99382,16.90831,0,0.668177033,-163.5384424,4.982440246,0.23570509
Co,27,17,4,3,2,1,1,1,2.47,2,9.2,58.933,4.98,1.88,1.25,-1.106304,-0.648229,7.88101,17.084,0.6633,1.732710165,-3184.0425,11.31858717,0.24857927
Co,27,17,4,3,2,2,0,0,2.47,2,9.2,58.933,4.41,1.88,1.25,-3.442674,-4.111577,7.88101,17.084,0.6633,-0.329844944,-373.4955003,8.921280709,0.24797198
